Year,Race,Driver,Team,QualiTime,RaceTimeAvg,Compound,Sector1Avg,Sector2Avg,Sector3Avg,AirTemp,TrackTemp,Humidity,WindSpeed,TrackLengthKM
2024,Belgium,23,Williams,114.473,109.419384,HARD,31.038230769230776,49.19533333333332,29.185820512820516,21.32846715328467,42.26715328467154,49.583941605839414,1.6832116788321168,7.004
2024,Belgium,10,Alpine,114.635,109.378461,HARD,31.199000000000005,48.93558974358975,29.243871794871794,21.32846715328467,42.26715328467154,49.583941605839414,1.6832116788321168,7.004
2024,Belgium,3,RB,114.682,109.10882,HARD,31.12033333333333,48.74458974358974,29.243897435897427,21.32846715328467,42.26715328467154,49.583941605839414,1.6832116788321168,7.004
2024,Belgium,77,Kick Sauber,114.764,109.621641,HARD,31.157102564102562,49.13866666666667,29.3258717948718,21.32846715328467,42.26715328467154,49.583941605839414,1.6832116788321168,7.004
2024,Belgium,18,Aston Martin,115.716,109.771585,HARD,31.221902439024394,49.238926829268294,29.310756097560976,21.32846715328467,42.26715328467154,49.583941605839414,1.6832116788321168,7.004
2024,Belgium,27,Haas F1 Team,116.308,109.916051,MEDIUM,31.122461538461533,49.39189743589744,29.401692307692308,21.32846715328467,42.26715328467154,49.583941605839414,1.6832116788321168,7.004
2024,Belgium,20,Haas F1 Team,116.5,109.853292,HARD,31.194292682926832,49.28465853658536,29.374341463414634,21.32846715328467,42.26715328467154,49.583941605839414,1.6832116788321168,7.004
2024,Belgium,22,RB,116.593,110.021658,HARD,31.271585365853657,49.37504878048781,29.375024390243897,21.32846715328467,42.26715328467154,49.583941605839414,1.6832116788321168,7.004
2024,Belgium,2,Williams,117.23,109.790538,MEDIUM,31.18010256410256,49.29189743589743,29.318538461538463,21.32846715328467,42.26715328467154,49.583941605839414,1.6832116788321168,7.004
2024,Belgium,24,Kick Sauber,117.775,112.2375,HARD,31.534,50.822500000000005,29.881,21.32846715328467,42.26715328467154,49.583941605839414,1.6832116788321168,7.004
